release_id,artist,album,genre,style,year,original_year,reissue,edition,color,country,date_added,cover_path,cover_source
34084336,These New Puritans,Crooked Wing,"Rock, Pop","Art Rock, Avantgarde, Ethereal, Neo-Classical, Organ, Post Rock",2025,2025,,,,"UK, Europe & US",2025-07-29T15:51:34-07:00,covers/34084336.jpg,cached
31715876,Tindersticks,Soft Tissue,Rock,"Alternative Rock, Indie Rock, Art Rock",2024,2024,,,,Europe,2025-05-22T15:17:50-07:00,covers/31715876.jpg,cached
802115,Trentemøller,The Last Resort (Vinyl Edition),Electronic,"Abstract, IDM, Minimal",2006,2006,,,,Germany,2026-01-21T16:10:31-08:00,covers/802115.jpg,cached
1090090,Trentemøller,The Trentemøller Chronicles,Electronic,"Dub, Techno, Electro, Minimal, Tech House",2007,2007,,,,Germany,2026-01-21T16:11:40-08:00,covers/1090090.jpg,cached
2306276,Trentemøller,Into The Great Wide Yonder,"Electronic, Rock","Techno, Experimental, Ambient",2010,2010,,,,Europe,2026-01-21T16:06:35-08:00,covers/2306276.jpg,cached
14186387,Trentemøller,Obverse,"Electronic, Rock","Dark Ambient, Ambient, Electro, Experimental, IDM, Synthwave, Trip Hop, Shoegaze",2019,2019,,,White,Europe,2025-12-18T10:14:59-08:00,covers/14186387.jpg,cached
31611160,Tycho,Infinite Health,Electronic,Downtempo,2024,2024,,Limited,Sky Blue,UK & Europe,2026-05-21T14:47:47-07:00,covers/31611160.jpg,cached
15780708,Ulver,Flowers Of Evil,Pop,,2020,2020,,Limited,Yellow,UK,2025-04-01T09:04:09-07:00,covers/15780708.jpg,cached
33833697,Ulver,The Assassination Of Julius Caesar,"Electronic, Rock","Experimental, Avantgarde, Synthwave",2025,2017,Repress,Limited,,UK,2026-04-08T09:27:31-07:00,covers/33833697.jpg,cached
1141347,UNKLE,War Stories,Electronic,"Breaks, Trip Hop, Experimental",2007,2007,,,,UK,2026-04-13T14:53:37-07:00,covers/1141347.jpg,cached
13424569,UNKLE,The Road: Part II / Lost Highway,"Electronic, Rock",Trip Hop,2019,2019,,,,UK,2026-06-08T10:00:11-07:00,covers/13424569.jpg,cached
8986753,Warhaus,We Fucked A Flame Into Being,Rock,Indie Rock,2016,2016,,,,UK & Europe,2026-05-21T14:47:13-07:00,covers/8986753.jpg,cached
25126651,Warhaus,Ha Ha Heartbreak,"Rock, Pop","Alternative Rock, Indie Rock, Indie Pop",2022,2022,,,,Belgium,2026-04-22T07:22:34-07:00,covers/25126651.jpg,cached
32416002,Warhaus,Karaoke Moon,"Rock, Pop","Alternative Rock, Indie Rock, Indie Pop",2024,2024,,,,Belgium,2026-01-12T04:53:35-08:00,covers/32416002.jpg,cached
13391603,Whispering Sons,Image,Rock,"Post-Punk, New Wave",2019,2018,Repress,,,Belgium,2026-03-25T07:05:23-07:00,covers/13391603.jpg,cached
23436272,WhoMadeWho,UUUU,Electronic,"House, Nu-Disco",2022,2022,,,,Germany,2026-03-04T08:05:48-08:00,covers/23436272.jpg,discogs-forced
10955424,Wolf Parade,Cry Cry Cry,Rock,Indie Rock,2017,2017,,,,US,2025-12-16T09:58:35-08:00,covers/10955424.jpg,cached
1741084,Yeah Yeah Yeahs,It's Blitz!,"Electronic, Rock","Alternative Rock, Indie Rock, Synth-pop",2009,2009,,,,UK,2025-09-12T10:16:56-07:00,covers/1741084.jpg,cached
22126252,Zeal & Ardor,Zeal & Ardor,"Electronic, Rock, Funk / Soul","Black Metal, Avantgarde, Gospel",2022,2022,,,,Germany,2026-01-21T16:09:41-08:00,covers/22126252.jpg,cached
26811767,†††,Permanent.Radiant,Rock,,2023,2022,Reissue,,Blue Transparent,Worldwide,2025-12-21T06:34:25-08:00,covers/26811767.jpg,cached
29209435,†††,"Goodnight, God Bless, I Love U, Delete.","Electronic, Rock","Experimental, Darkwave",2023,2023,,,,Europe,2025-12-22T11:27:21-08:00,covers/29209435.jpg,cached
